athlete_id,athlete_name,country_code,gender,sports,events
1,AABREKK Ingrid Bergene,NOR,F,Cross-Country Skiing,Women's Sprint Classic
2,AAGAARD Mikkel,DEN,M,Ice Hockey,Men
3,AAGAARD Mikkel,DEN,M,Ice Hockey,Men
4,AALTO Antti,FIN,M,Ski Jumping,Men's NH Individual
5,ABATANGELO Aurora,ITA,F,Ice Hockey,Women
6,ABDI Fayik,KSA,M,Alpine Skiing,To be defined
7,ABDI Fayik,KSA,M,Alpine Skiing,Men's Giant Slalom
8,ABDUL-SABOOR Hakeem,USA,M,Bobsleigh,To be defined
9,ABEDA Shannon,ERI,M,Alpine Skiing,To be defined
10,ABSTREITER Sandra,GER,F,Ice Hockey,Women
11,ABSTREITER Sandra,GER,F,Ice Hockey,Women
12,ACHLEITNER Lisa,AUT,F,Cross-Country Skiing,Women's 10km Interval Start Free
13,ADAKE Ahenaer,CHN,F,Speed Skating,Women's Mass Start/Women's Team Pursuit
14,ADAKE Ahenaer,CHN,F,Speed Skating,Women's Mass Start/Women's Team Pursuit
15,ADAMCZYKOVA Eva,CZE,F,Snowboard,Women's Snowboard Cross
16,ADAMEK Klaudia,POL,F,Bobsleigh,2-woman
17,ADAMOV Simon,SVK,M,Biathlon,Men's 20km Individual/Men's 10km Sprint/Mixed Relay 4 x 6km (M+W)
18,ADDAMO Justin,FRA,M,Ice Hockey,Men
19,ADOLFSSON Jessica,SWE,F,Ice Hockey,Women
20,AEBERHARD Mario,SUI,M,Bobsleigh,4-man
21,AEBERHARD Mario,SUI,M,Bobsleigh,4-man
22,AERNI Luca,SUI,M,Alpine Skiing,To be defined
23,AERNI Luca,SUI,M,Alpine Skiing,Men's Giant Slalom
24,AHO Sebastian,FIN,M,Ice Hockey,Men
25,AHOLA Sanni,FIN,F,Ice Hockey,Women
26,AHVENAINEN Akseli,FIN,M,Freestyle Skiing,Men's Moguls/Men's Dual Moguls
27,AICHER Emma,GER,F,Alpine Skiing,Women's Downhill/Women's Super-G/Women's Team Combined
28,AICHER Emma,GER,F,Alpine Skiing,Women's Downhill/Women's Super-G/Women's Team Combined
29,AIGRO Artti,EST,M,Ski Jumping,Men's NH Individual
30,AIHARA Shiro,JPN,M,Alpine Skiing,To be defined
31,AKAR Furkan,TUR,M,Short Track Speed Skating,To be defined
32,AKIMOTO Nana,JPN,F,Ice Hockey,Women
33,AKOPOVA Karina,ARM,F,Figure Skating,Pair Skating
34,ALBRECHT Aline,SUI,F,Snowboard,Women's Snowboard Cross
35,ALBRECHT Aline,SUI,F,Snowboard,Women's Snowboard Cross
36,ALDER Fabienne,SUI,F,Cross-Country Skiing,Women's 10km + 10km Skiathlon
37,ALDER Fabienne,SUI,F,Cross-Country Skiing,Women's 10km + 10km Skiathlon
38,ALESSANDRIA Arnaud,MON,M,Alpine Skiing,Men's Downhill/Men's Super-G
39,ALESSANDRIA Arnaud,MON,M,Alpine Skiing,Men's Downhill/Men's Super-G
40,ALEV Alvar Johannes,EST,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon
41,ALEXANDER Cameron,CAN,M,Alpine Skiing,Men's Downhill/Men's Super-G
42,ALEXANDER Kiki,CAN,F,Alpine Skiing,To be defined
43,ALIC Esma,BIH,F,Alpine Skiing,To be defined
44,ALIREZA Rakan,KSA,M,Cross-Country Skiing,Men's 10km Interval Start Free
45,ALIREZA Rakan,KSA,M,Cross-Country Skiing,Men's 10km Interval Start Free
46,ALLAN Kailey,CAN,F,Luge,Women's Doubles
47,ALLEGRE Nils,FRA,M,Alpine Skiing,Men's Downhill/Men's Super-G/Men's Team Combined
48,ALLEMAND Romain,FRA,M,Snowboard,Men's Snowboard Slopestyle/Men's Snowboard Big Air
49,ALLEYNE Nikhil,TTO,M,Alpine Skiing,To be defined
50,ALONSO RODRIGUEZ Ana,ESP,F,Ski Mountaineering,Women's Sprint/Mixed Relay
51,ALPHAND Estelle,SWE,F,Alpine Skiing,To be defined
52,ALPHAND Nils,FRA,M,Alpine Skiing,Men's Downhill/Men's Super-G/Men's Team Combined
53,ALTANZUL Ariunbat,MGL,M,Alpine Skiing,To be defined
54,ALTANZUL Ariunbat,MGL,M,Alpine Skiing,To be defined
55,AMBROSE Erin,CAN,F,Ice Hockey,Women
56,AMBROSI Martina,ITA,F,Ski Jumping,Women's NH Individual
57,AMBROSINI Filippo,ITA,M,Figure Skating,Pair Skating/Team Event
58,AMBRULEVICIUS Saulius,LTU,M,Figure Skating,Ice Dance
59,AMIEZ Steven,FRA,M,Alpine Skiing,Men's Team Combined
60,AMMOUR Adam,GER,M,Bobsleigh,2-man/4-man
61,AMMOUR Adam,GER,M,Bobsleigh,2-man/4-man
62,AMMOUR Issam,GER,M,Bobsleigh,4-man
63,AMMOUR Issam,GER,M,Bobsleigh,4-man
64,AMRENOVA Ayaulym,KAZ,F,Freestyle Skiing,Women's Moguls/Women's Dual Moguls
65,AMUNDSEN Harald Oestberg,NOR,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon/Men's Sprint Classic
66,AN Tai,CHN,M,Bobsleigh,2-man/4-man
67,AN Tai,CHN,M,Bobsleigh,2-man/4-man
68,ANDERMANN Nicolas,AUT,M,Short Track Speed Skating,To be defined
69,ANDERSEN Frederik,DEN,M,Ice Hockey,Men
70,ANDERSEN Frederik,DEN,M,Ice Hockey,Men
71,ANDERSON Lucinda,USA,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint
72,ANDERSON-HEIDE Taylor,USA,F,Curling,Women
73,ANDERSSON Ebba,SWE,F,Cross-Country Skiing,Women's 10km Interval Start Free/Women's 10km + 10km Skiathlon
74,ANDERSSON Linnea,SWE,F,Ice Hockey,Women
75,ANDERSSON Rasmus,SWE,M,Ice Hockey,Men
76,ANDEXER Anna,AUT,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint
77,ANDO Asa,JPN,F,Alpine Skiing,To be defined
78,ANDRASKA Anouk,SUI,F,Freestyle Skiing,Women's Freeski Big Air
79,ANDRASKA Anouk,SUI,F,Freestyle Skiing,Women's Freeski Big Air
80,ANDREASSEN Milla Grosberghaugen,NOR,F,Cross-Country Skiing,Women's Sprint Classic
81,ANDREUTTI Giada,ITA,F,Bobsleigh,2-woman/Women's Monobob
82,ANDREWS Ruby Star,NZL,F,Freestyle Skiing,Women's Freeski Slopestyle/Women's Freeski Big Air
83,ANDRIGHETTO Sven,SUI,M,Ice Hockey,Men
84,ANDRIGHETTO Sven,SUI,M,Ice Hockey,Men
85,ANDRYIANAVA Anastasiya,AIN,F,Freestyle Skiing,Women's Aerials
86,ANDZANE Marta,LAT,F,Skeleton,Women
87,ANDZANE Marta,LAT,F,Skeleton,Women
88,ANGELIS Apostolos,GRE,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon/Men's Sprint Classic
89,ANGENEND Yannik,GER,M,Snowboard,Men's Parallel Giant Slalom
90,ANGENEND Yannik,GER,M,Snowboard,Men's Parallel Giant Slalom
91,ANGER Edvin,SWE,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon/Men's Sprint Classic
92,ANGUENOT Leo,FRA,M,Alpine Skiing,To be defined
93,ANKELE Martina,AUT,F,Snowboard,Women's Parallel Giant Slalom
94,ANNEN Debora,SUI,F,Bobsleigh,2-woman/Women's Monobob
95,ANNEN Debora,SUI,F,Bobsleigh,2-woman/Women's Monobob
96,ANNEN Tim,SUI,M,Bobsleigh,2-man/4-man
97,ANNEN Tim,SUI,M,Bobsleigh,2-man/4-man
98,ANSELMET Thibault,FRA,M,Ski Mountaineering,Men's Sprint/Mixed Relay
99,ANTHONY Jakara,AUS,F,Freestyle Skiing,Women's Moguls/Women's Dual Moguls
100,ANTOSOVA Barbora,CZE,F,Cross-Country Skiing,Women's Sprint Classic
