event_id,sport_id,event_name,gender_category,date,time,event_type,venue_id
1,Women's Downhill,11:30,02/08/2026,Individual,Women,1,6
2,Men's Team Combined,10:30,02/09/2026,Team,Men,1,10
3,Women's Team Combined,10:30,02/10/2026,Team,Women,1,10
4,Men's Super-G,11:30,02/11/2026,Individual,Men,1,10
5,Women's Super-G,11:30,02/12/2026,Individual,Women,1,6
6,Men's Giant Slalom,10:00,02/14/2026,Individual,Men,1,10
7,Women's Giant Slalom,10:00,02/15/2026,Individual,Women,1,6
8,Men's Slalom,10:00,02/16/2026,Individual,Men,1,10
9,Women's slalom,10:00,02/18/2026,Individual,Women,1,6
10,Mixed 4 X 6 km Relay,14:05,02/08/2026,Team,Mixed,2,7
11,Men's 20 km Individual,13:30,02/10/2026,Individual,Men,2,7
12,Women's 15 km Individual,14:00,02/11/2026,Individual,Women,2,7
13,Men's 10 km Sprint,14:00,02/13/2026,Individual,Men,2,7
14,Women's 7.5 km Sprint,14:45,02/14/2026,Individual,Women,2,7
15,Men's 12.5 km Pursuit,11:15,02/15/2026,Individual,Men,2,7
16,Women's 10 km Pursuit,14:45,02/15/2026,Individual,Women,2,7
17,Men's 4 X 7.5 km Relay,14:30,02/17/2026,Team,Men,2,7
18,Women's 4 X 6 km Relay,14:45,02/18/2026,Team,Women,2,7
19,Men's 15 km Mass Start,14:15,02/20/2026,Individual,Men,2,7
20,Women's 12.5 km Mass Start,14:15,02/21/2026,Individual,Women,2,7
21,Women's monobob,10:00,02/15/2026,Individual,Women,3,9
22,Two-man,10:00,02/16/2026,Team,Men,3,9
23,Two-woman,18:00,02/20/2026,Team,Women,3,9
24,Four-man,10:00,02/22/2026,Team,Men,3,9
25,Women's Skiathlon,13:00,02/07/2026,Individual,Women,4,14
26,Men's Skiathlon,12:30,02/08/2026,Individual,Men,4,14
27,Men's Individual Sprint Classical,09:15,02/10/2026,Individual,Men,4,14
28,Women's Individual Sprint Classical,09:15,02/10/2026,Individual,Women,4,14
29,Women's 10 km Freestyle,13:00,02/12/2026,Individual,Women,4,14
30,Men's 10 km Freestyle,11:45,02/13/2026,Individual,Men,4,14
31,Women's 4 X 7.5 km Relay,12:00,02/14/2026,Team,Women,4,14
32,Men's 4 X 7.5 km Relay,12:00,02/15/2026,Team,Men,4,14
33,Women's Team Sprint Freestyle,09:45,02/18/2026,Team,Women,4,14
34,Men's Team Sprint Freestyle,09:45,02/18/2026,Team,Men,4,14
35,Men's 50 km Mass Start Classical,11:00,02/21/2026,Individual,Men,4,14
36,Women's 50 km Mass Start Classical,10:00,02/22/2026,Individual,Women,4,14
37,Women,10:00,02/04/2026,Team,Women,5,8
38,Men,10:00,02/04/2026,Team,Men,5,8
39,Mixed Doubles,10:00,02/04/2026,Team,Mixed,5,8
40,Men's Singles,19:00,02/13/2026,Individual,Men,6,5
41,Women's Singles,19:00,02/19/2026,Individual,Women,6,5
42,Pair Skating,20:00,02/16/2026,Team,Mixed,6,5
43,Ice Dance,22:05,02/07/2026,Team,Mixed,6,5
44,Team Event,9:55,02/06/2026,Team,Mixed,6,5
45,Women's Ski Slopestyle,12:30,02/09/2026,Individual,Women,7,11
46,Men's ski slopestyle,12:30,02/10/2026,Individual,Men,7,11
47,Women's Moguls,11:00,02/11/2026,Individual,Women,7,11
48,Men's Moguls,10:00,02/12/2026,Individual,Men,7,11
49,Women's Dual Moguls,10:30,02/14/2026,Individual,Women,7,11
50,Men's Dual Moguls,10:30,02/15/2026,Individual,Men,7,11
51,Women's Big Air,19:30,02/16/2026,Individual,Women,7,11
52,Men's Big Air,19:30,02/17/2026,Individual,Men,7,11
53,Women's Aerials,13:00,02/18/2026,Individual,Women,7,11
54,Women's Ski Cross,10:00,02/20/2026,Individual,Women,7,11
55,Men's Aerials,13:30,02/20/2026,Individual,Men,7,11
56,Men's Ski Halfpipe,19:30,02/20/2026,Individual,Men,7,11
57,Men's Ski Cross,10:00,02/21/2026,Individual,Men,7,11
58,Mixed Team Aerials,10:45,02/21/2026,Team,Mixed,7,11
59,Women's Ski Halfpipe,19:30,02/21/2026,Individual,Women,7,11
60,Men,10:00,02/05/2026,Team,Men,8,2
61,Women,10:00,02/05/2026,Team,Women,8,3
62,Women's Singles,17:00,02/10/2026,Individual,Women,9,9
63,Men's Singles,17:00,02/08/2026,Individual,Men,9,9
64,Men's Doubles,17:00,02/11/2026,Team,Men,9,9
65,women's Doubles,17:00,02/11/2026,Team,Women,9,9
66,Team Relay,18:30,02/12/2026,Team,Mixed,9,9
67,Men's individual 10 km Normal Hill,13:45,02/11/2026,Individual,Men,10,13
68,Men's Team Relay 2 x 7.5 km,14:00,02/19/2026,Team,Men,10,13
69,Men's Individual 10 km Large Hill,13:45,02/17/2026,Individual,Men,10,13
70,Mixed Team Relay,11:53,02/10/2026,Team,Mixed,11,5
71,Women's 500 Metres,20:15,02/12/2026,Individual,Women,11,5
72,Men's 1000 Metres,20:29,02/12/2026,Individual,Men,11,5
73,Men's 1500 Metres,21:44,02/14/2026,Individual,Men,11,5
74,Women's 1000 Metres,11:55,02/16/2026,Individual,Women,11,5
75,Men's 500 Metres,20:15,02/18/2026,Individual,Men,11,5
76,Women's 3000 Metre Relay,20:50,02/18/2026,Team,Women,11,5
77,Women's 1500 Metres,21:00,02/20/2026,Individual,Women,11,5
78, Men's 5000 Metre Relay,21:17,02/20/2026,Team,Men,11,5
79,Men's Singles,09:30,02/12/2026,Individual,Men,12,9
80,Women's Singles,16:00,02/13/2026,Individual,Women,12,9
81,Mixed Team,18:00,02/15/2026,Team,Mixed,12,9
82,Women's Normal Hill Individual,18:45,02/07/2026,Individual,Women,13,13
83,Men's Normal Hill Individual,19:00,02/09/2026,Individual,Men,13,13
84,Mixed Team Normal Hill,18:45,02/10/2026,Team,Mixed,13,13
85,Men's Large Hill Individual,18:45,02/14/2026,Individual,Men,13,13
86,Women's Large Hill Individual,18:45,02/15/2026,Individual,Women,13,13
87,Men's Large Hill Super Team,19:00,02/16/2026,Team,Men,13,13
88,Men's Sprint,09:50,02/19/2026,Individual,Men,14,10
89,Women's Sprint,09:50,02/19/2026,Individual,Women,14,10
90,Mixed Relay,13:30,02/21/2026,Team,Mixed,14,10
91,Men's Big Air,19:30,02/05/2026,Individual,Men,15,11
92,Men's Parallel Giant Slalom,09:30,02/08/2026,Individual,Men,15,11
93,Women's Parallel Giant slalom,09:30,02/08/2026,Individual,Women,15,11
94,Women's Big Air,19:30,02/08/2026,Individual,Women,15,11
95,Men's Snowboard Cross,10:00,02/12/2026,Individual,Men,15,11
96,Women's Halfpipe,19:30,02/12/2026,Individual,Women,15,11
97,Women's Snowboard Cross,10:00,02/13/2026,Individual,Women,15,11
98,Men's Halfpipe,19:30,02/13/2026,Individual,Men,15,11
