event_id,sport_id,event_name,gender,date,time
1,1,Women's Downhill,Women,02/08/2026,11:30
2,1,Men's Team Combined,Men,02/09/2026,10:30
3,1,Women's Team Combined,Women,02/10/2026,10:30
4,1,Men's Super-G,Men,02/11/2026,11:30
5,1,Women's Super-G,Women,02/12/2026,11:30
6,1,Men's Giant Slalom,Men,02/14/2026,10:00
7,1,Women's Giant Slalom,Women,02/15/2026,10:00
8,1,Men's Slalom,Men,02/16/2026,10:00
9,1,Women's slalom,Women,02/18/2026,10:00
10,2,Mixed 4 × 6 km Relay,Mixed,02/08/2026,14:05
11,2,Men's 20 km Individual,Men,02/10/2026,13:30
12,2,Women's 15 km Individual,Women,02/11/2026,14:00
13,2,Men's 10 km Sprint,Men,02/13/2026,14:00
14,2,Women's 7.5 km Sprint,Women,02/14/2026,14:45
15,2,Men's 12.5 km Pursuit,Men,02/15/2026,11:15
16,2,Women's 10 km Pursuit,Women,02/15/2026,14:45
17,2,Men's 4 × 7.5 km Relay,Men,02/17/2026,14:30
18,2,Women's 4 × 6 km Relay,Women,02/18/2026,14:45
19,2,Men's 15 km Mass Start,Men,02/20/2026,14:15
20,2,Women's 12.5 km Mass Start,Women,02/21/2026,14:15
21,3,Women's monobob,Women,02/15/2026,10:00
22,3,Two-man,Men,02/16/2026,10:00
23,3,Two-woman,Womwn,02/20/2026,18:00
24,3,Four-man,Men,02/22/2026,10:00
25,4,Women's Skiathlon,Women,02/07/2026,13:00
26,4,Men's Skiathlon,Men,02/08/2026,12:30
27,4,Men's Individual Sprint Classical,Men,02/10/2026,09:15
28,4,Women's Individual Sprint Classical,Women,02/10/2026,09:15
29,4,Women's 10 km Freestyle,Women,02/12/2026,13:00
30,4,Men's 10 km Freestyle,Men,02/13/2026,11:45
31,4,Women's 4 × 7.5 km Relay,Women,02/14/2026,12:00
32,4,Men's 4 × 7.5 km relay,Men,02/15/2026,12:00
33,4,Women's Team Sprint Freestyle,Women,02/18/2026,09:45
34,4,Men's Team Sprint Freestyle,Men,02/18/2026,09:45
35,4,Men's 50 km Mass Start Classical,Men,02/21/2026,11:00
36,4,Women's 50 km Mass Start Classical,Women,02/22/2026,10:00
37,5,Women,Women,02/04/2026,10:00
38,5,Men,Men,02/04/2026,10:00
39,5,Mixed Doubles,Mixed,02/04/2026,10:00
40,6,Men's Singles,Men,02/13/2026,19:00
41,6,Women's Singles,Women,02/19/2026,19:00
