athlete_id,event_id,ranking
1,28,NULL
3,83,NULL
5,117,NULL
6,118,NULL
7,117,NULL
9,29,NULL
10,115,NULL
11,97,2
13,11,NULL
13,13,NULL
17,117,NULL
20,48,NULL
20,50,NULL
21,1,2
21,5,NULL
22,83,NULL
23,117,NULL
24,119,NULL
27,97,NULL
28,25,NULL
29,116,NULL
29,4,NULL
30,30,NULL
30,26,NULL
31,116,NULL
31,4,NULL
32,117,NULL
33,117,NULL
34,30,NULL
36,116,NULL
36,4,NULL
37,15,NULL
37,91,NULL
38,117,NULL
39,89,3
40,117,NULL
41,116,NULL
41,4,NULL
42,117,NULL
44,82,NULL
50,47,NULL
50,49,NULL
51,30,NULL
51,26,NULL
51,27,NULL
53,119,NULL
55,12,NULL
55,14,NULL
57,29,2
57,25,2
60,12,NULL
60,14,NULL
61,117,NULL
62,51,NULL
63,28,NULL
64,21,NULL
65,45,NULL
65,51,NULL
67,53,NULL
68,12,NULL
69,30,NULL
69,26,NULL
69,27,NULL
70,92,NULL
71,30,NULL
71,26,NULL
71,27,NULL
72,117,NULL
73,93,NULL
74,21,NULL
76,88,3
77,47,NULL
77,49,1
78,28,NULL
79,30,NULL
79,26,NULL
80,62,NULL
81,63,NULL
82,21,NULL
84,54,NULL
85,112,NULL
85,103,NULL
85,114,NULL
88,21,3
90,120,NULL
91,82,NULL
92,117,NULL
93,96,NULL
94,71,NULL
95,55,NULL
96,121,NULL
97,117,NULL
98,117,NULL
99,117,NULL
100,59,3
101,12,NULL
101,14,NULL
102,79,NULL
103,57,NULL
107,29,NULL
107,28,NULL
108,12,NULL
108,14,NULL
109,117,NULL
110,40,NULL
112,8,NULL
113,30,NULL
113,26,NULL
114,116,NULL
114,4,NULL
117,54,NULL
118,11,NULL
118,13,NULL
118,15,NULL
120,93,NULL
121,97,1
122,79,NULL
123,93,NULL
126,46,NULL
126,52,NULL
127,54,NULL
129,92,NULL
130,97,NULL
131,63,NULL
132,109,NULL
133,98,NULL
135,46,NULL
135,52,NULL
136,79,NULL
138,26,NULL
138,27,NULL
139,97,NULL
141,5,NULL
142,12,NULL
142,14,NULL
143,117,NULL
144,30,NULL
144,26,NULL
144,27,NULL
145,72,NULL
147,30,NULL
147,26,NULL
147,27,NULL
149,12,NULL
149,14,NULL
152,30,NULL
152,26,NULL
153,92,NULL
154,95,NULL
156,56,NULL
157,57,NULL
159,117,NULL
160,118,NULL
161,103,NULL
161,114,NULL
162,83,NULL
163,1,NULL
163,5,NULL
164,21,NULL
166,118,NULL
168,88,NULL
169,112,NULL
169,114,NULL
170,82,NULL
171,82,NULL
172,12,NULL
172,14,NULL
173,12,NULL
174,30,NULL
174,26,NULL
174,27,NULL
175,116,NULL
177,28,NULL
179,54,NULL
180,30,NULL
180,26,NULL
181,103,NULL
181,107,3
181,114,1
184,62,NULL
190,63,NULL
191,72,NULL
192,71,NULL
193,105,NULL
193,112,NULL
194,113,NULL
194,102,NULL
195,29,NULL
196,92,NULL
197,95,NULL
198,83,NULL
204,113,NULL
204,106,NULL
204,115,NULL
205,11,NULL
205,13,NULL
207,98,NULL
210,1,NULL
210,5,NULL
213,103,NULL
213,107,NULL
214,95,NULL
215,113,NULL
215,102,NULL
215,106,NULL
215,115,2
216,100,NULL
216,94,NULL
218,21,NULL
219,5,NULL
220,72,NULL
221,109,NULL
221,104,NULL
222,46,NULL
222,52,NULL
227,117,NULL
228,6,NULL
229,13,NULL
229,15,NULL
230,13,NULL
231,92,NULL
232,12,NULL
233,88,NULL
234,47,NULL
234,49,NULL
236,109,NULL
236,104,NULL
236,113,NULL
237,112,NULL
237,103,NULL
237,107,NULL
239,62,2
240,11,1
240,13,NULL
240,15,NULL
242,15,NULL
242,91,NULL
245,28,NULL
246,71,NULL
247,12,NULL
247,14,NULL
249,104,NULL
249,113,NULL
250,83,NULL
252,95,NULL
255,12,NULL
255,14,NULL
256,11,NULL
258,102,NULL
259,11,NULL
260,69,NULL
261,25,NULL
262,117,NULL
263,83,NULL
264,1,NULL
264,5,NULL
265,1,NULL
265,7,1
265,5,1
266,56,NULL
268,62,NULL
269,40,NULL
271,100,NULL
271,94,NULL
273,59,NULL
275,29,NULL
277,30,NULL
277,27,NULL
279,71,NULL
280,108,NULL
280,105,NULL
281,117,NULL
282,97,NULL
283,117,NULL
284,79,NULL
285,30,NULL
285,26,NULL
285,27,NULL
286,53,NULL
287,88,NULL
288,28,NULL
290,117,NULL
292,93,NULL
293,21,NULL
295,12,NULL
295,14,NULL
296,79,NULL
299,30,NULL
299,26,NULL
299,27,NULL
300,93,NULL
301,12,NULL
301,14,NULL
302,98,NULL
303,12,NULL
304,119,NULL
305,11,NULL
305,13,NULL
305,15,NULL
306,100,NULL
306,94,NULL
307,30,NULL
307,26,NULL
308,11,NULL
308,13,NULL
309,62,NULL
310,30,NULL
310,27,NULL
311,47,NULL
311,49,NULL
312,83,NULL
314,93,NULL
315,96,NULL
317,59,NULL
318,1,NULL
318,5,NULL
320,15,NULL
320,91,NULL
321,88,1
322,30,NULL
322,26,NULL
324,12,NULL
324,14,NULL
326,40,NULL
327,47,NULL
327,49,NULL
328,118,NULL
329,92,NULL
330,12,NULL
330,14,NULL
331,5,NULL
333,116,NULL
333,4,NULL
335,28,NULL
336,97,NULL
337,96,NULL
338,116,NULL
338,4,NULL
340,118,NULL
341,48,NULL
341,50,NULL
342,92,NULL
343,93,NULL
344,6,NULL
345,83,NULL
348,30,NULL
348,27,NULL
349,103,NULL
349,107,NULL
349,114,NULL
352,21,NULL
354,27,NULL
355,1,NULL
355,5,NULL
357,40,NULL
361,12,NULL
364,27,NULL
365,117,NULL
366,29,NULL
367,30,NULL
367,26,NULL
367,27,NULL
368,12,NULL
369,27,NULL
370,29,NULL
371,12,NULL
371,14,NULL
372,53,NULL
374,79,NULL
375,109,NULL
376,82,NULL
377,83,NULL
378,54,NULL
380,29,NULL
380,25,NULL
380,28,NULL
381,41,NULL
384,114,NULL
385,92,NULL
387,11,NULL
387,13,NULL
388,96,1
389,71,NULL
390,54,NULL
391,95,NULL
392,95,NULL
393,95,NULL
396,13,2
396,15,NULL
399,12,NULL
399,14,NULL
401,114,NULL
403,89,NULL
404,11,NULL
404,13,NULL
409,12,NULL
410,45,NULL
