team_id,team_name,gender_category
1,Argentina,Women
4,AKOPOVA Karina/RAKHMANIN Nikita,Mixed
8,Australia,Mixed
9,Australia 1,Mixed
10,Australia 2,Mixed
11,BLIZZARD Sarah,Women
12,GOLUBEVA Anastasiia/GIOTOPOULOS MOORE Hektor,Mixed
13,HARRIS Holly/CHAN Jason,Mixed
14,WALKER Bree,Women
15,Austria,Men
16,Austria,Mixed
17,Austria,Men
18,Austria,Mixed
20,Austria,Mixed
23,Austria,Men
24,Austria,Women
25,Austria,Mixed
26,Austria 1,Women
27,Austria 1,Men
28,Austria 1,Mixed
29,Austria 2,Men
30,Austria 2,Women
31,Austria 3,Women
32,Austria 3,Men
33,Austria 4,Men
34,Austria 4,Women
35,BEIERL Katrin,Women
36,EGLE Selina/KIPP Lara Michaela,Women
37,FLOCK Janine/MAIER Samuel,Mixed
38,GATT Juri Thomas/SCHOEPF Riccardo Martin,Men
39,HASLWANTER Lea,Women
40,MANDLBAUER Jakob,Men
41,MANDLBAUER Jakob,Men
42,STEU Thomas/KINDL Wolfgang,Men
43,TREICHL Markus,Men
44,TREICHL Markus,Men
45,Belgium,Women
46,Belgium,Men
47,Belgium,Mixed
48,Belgium,Mixed
49,Belgium,Women
50,Belgium,Men
51,BINDILATTI Edson Luques,Men
52,BINDILATTI Edson Luques,Men
54,Bulgaria,Mixed
55,Bulgaria,Men
56,Bulgaria,Women
58,APPIAH Cynthia,Women
59,AUSTIN Taylor,Men
60,AUSTIN Taylor,Men
61,Canada,Men
63,Canada,Men
64,Canada,Women
65,Canada,Mixed
66,Canada,Mixed
67,Canada,Men
68,Canada,Women
69,Canada,Mixed
70,Canada,Men
71,Canada,Women
72,Canada,Women
73,Canada,Women
74,Canada,Men
77,Canada,Mixed
78,Canada 1,Women
79,Canada 1,Mixed
80,Canada 2,Women
81,CHANNELL Jane/BRUSIC Josip,Mixed
82,DEARBORN Jay,Men
83,DEARBORN Jay,Men
84,GILLES Piper/POIRIER Paul,Mixed
85,LAJOIE Marjorie/LAGHA Zachary,Mixed
86,LAURIAULT Marie-Jade/le GAC Romain,Mixed
87,LOTHOLZ Melissa,Women
88,PEREIRA Lia/MICHAUD Trennt,Mixed
89,PODULSKY Beattie/ALLAN Kailey,Women
90,RIBI Bianca,Women
91,STELLATO-DUDEK Deanna/DESCHAMPS Maxime,Mixed
92,WARDROPE Devin/ZAJANSKI Cole,Men
93,GULIJIENAITI Adikeyoumu/ZHAO Jiaying,Women
94,HUAI Mingming,Women
95,JUBAYI Saikeyi/HOU Shuo,Men
96,LI Chunjian,Men
97,LI Chunjian,Men
98,LIANG Yuxin/LIN Qinwei,Mixed
99,People's Republic of China,Mixed
100,People's Republic of China,Mixed
101,People's Republic of China,Men
102,People's Republic of China,Women
104,People's Republic of China,Mixed
105,People's Republic of China,Men
106,People's Republic of China,Men
107,People's Republic of China,Mixed
108,People's Republic of China,Women
109,People's Republic of China,Men
110,People's Republic of China,Mixed
111,People's Republic of China,Women
112,People's Republic of China,Men
115,SUI Wenjing/HAN Cong,Mixed
116,SUN Kaizhi,Men
117,SUN Kaizhi,Men
118,WANG Shiyue/LIU Xinyu,Mixed
119,YING Qing,Women
120,ZHAO Dan/CHEN Wenhao,Mixed
122,Czechia,Men
123,Czechia,Women
124,Czechia,Men
125,Czechia,Mixed
126,Czechia,Men
127,Czechia,Men
131,Czechia,Men
132,Czechia,Women
133,Czechia,Mixed
134,Czechia,Men
135,Czechia 1,Women
136,Czechia 1,Mixed
137,Czechia 2,Mixed
138,Czechia 2,Women
139,MRAZKOVA Katerina/MRAZEK Daniel,Mixed
140,TASCHLEROVA Natalie/TASCHLER Filip,Mixed
141,Denmark,Men
142,Denmark,Women
143,JOHANSEN Nanna/VESTERGAARD JOHANSEN Rasmus,Mixed
144,Estonia,Men
145,Estonia,Men
146,Estonia,Mixed
148,Estonia,Mixed
149,Estonia,Women
150,Estonia,Men
153,Finland,Men
154,Finland,Women
155,Finland,Men
157,Finland,Men
158,Finland,Men
159,Finland,Mixed
162,Finland,Men
163,Finland,Women
164,Finland,Mixed
165,Finland,Men
166,TURKKILA Juulia/VERSLUIS Matthias,Mixed
167,BOCH Margot,Women
168,FOURNIER BEAUDRY Laurence/CIZERON Guillaume,Mixed
169,France,Women
170,France,Men
171,France,Mixed
172,France,Men
174,France,Mixed
175,France,Men
176,France,Men
177,France,Mixed
178,France,Women
179,France,Mixed
180,France,Men
181,France,Mixed
182,France,Women
183,France,Men
186,France 1,Men
187,France 1,Women
188,France 1,Mixed
189,France 2,Mixed
190,France 2,Women
191,France 2,Men
192,France 3,Men
193,France 3,Women
194,France 3,Mixed
195,HEINRICH Romain,Men
196,HEINRICH Romain,Men
197,KOVALEV Camille/KOVALEV Pavel,Mixed
198,LOPAREVA Evgeniia/BRISSAUD Geoffrey,Mixed
199,DAVIS Diana/SMOLKIN Gleb,Mixed
200,Georgia,Mixed
201,METELKINA Anastasiia/BERULAVA Luka,Mixed
202,AMMOUR Adam,Men
203,AMMOUR Adam,Men
204,BUCKWITZ Lisa,Women
205,EGGERT Toni/MUELLER Florian,Men
206,EITBERGER Dajana/MATSCHINA Magdalena,Women
207,FRIEDRICH Francesco,Men
208,FRIEDRICH Francesco,Men
209,Germany,Men
210,Germany,Men
212,Germany,Men
213,Germany,Women
214,Germany,Mixed
215,Germany,Mixed
216,Germany,Men
217,Germany,Men
218,Germany,Mixed
219,Germany,Men
220,Germany,Women
221,Germany,Mixed
224,Germany,Men
225,Germany,Women
226,Germany,Women
227,Germany,Men
228,Germany 1,Mixed
229,HASE Minerva Fabienne/VOLODIN Nikita,Mixed
230,HOCKE Annika/KUNKEL Robert,Mixed
231,JANSE van RENSBURG Jennifer/STEFFAN Benjamin,Mixed
232,KALICKI Kim,Women
233,KREHER Susanne/JUNGK Axel,Mixed
234,LOCHNER Johannes,Men
235,LOCHNER Johannes,Men
236,NOLTE Laura,Women
237,PFEIFER Jacqueline/GROTHEER Christopher,Mixed
238,WENDL Tobias/ARLT Tobias,Men
239,BEKKER Phebe/HERNANDEZ James,Mixed
240,FEAR Lilah/GIBSON Lewis,Mixed
241,Great Britain,Mixed
243,Great Britain,Men
244,Great Britain,Mixed
245,Great Britain,Women
246,Great Britain 1,Mixed
247,HALL Brad,Men
248,HALL Brad,Men
249,NICOLL Adele,Women
250,STOECKER Tabitha/WESTON Matt,Mixed
251,TARBIT Freya/WYATT Marcus,Mixed
252,VAIPAN-LAW Anastasia/DIGBY Luke,Mixed
255,Hungary,Mixed
256,Hungary,Men
258,PAVLOVA Maria/SVIATCHENKO Alexei,Mixed
259,EDELMAN Adam,Men
260,EDELMAN Adam,Men
261,ANDREUTTI Giada,Women
262,BAUMGARTNER Patrick,Men
263,BAUMGARTNER Patrick,Men
264,CONTI Sara/MACII Niccolo,Mixed
265,de SILVESTRO Simona,Women
266,FUMAGALLI Alessandra/BAGNIS Amedeo,Mixed
267,GHILARDI Rebecca/AMBROSINI Filippo,Mixed
268,GUIGNARD Charlene/FABBRI Marco,Mixed
269,Italy,Men
271,Italy,Women
272,Italy,Mixed
273,Italy,Men
274,Italy,Mixed
275,Italy,Women
276,Italy,Men
277,Italy,Men
278,Italy,Women
279,Italy,Mixed
280,Italy,Men
281,Italy,Men
282,Italy,Mixed
283,Italy,Mixed
284,Italy,Mixed
285,Italy,Men
288,Italy,Women
289,Italy,Men
290,Italy,Mixed
291,Italy 1,Men
292,Italy 1,Women
293,Italy 1,Mixed
294,Italy 2,Mixed
295,Italy 2,Women
296,Italy 2,Men
297,Italy 3,Men
298,Italy 3,Women
299,Italy 4,Women
300,Italy 4,Men
301,MARGAGLIO Valentina/GASPARI Mattia,Mixed
302,NAGLER Ivan/MALLEIER Fabian,Men
303,RIEDER Emanuel/KAINZWALDNER Simon,Men
304,VOETTER Andrea/OBERHOFER Marion,Women
305,PITTER Shane,Men
306,PITTER Shane,Men
307,Japan,Women
308,Japan,Mixed
309,Japan,Women
310,Japan,Men
311,Japan,Mixed
312,Japan,Men
313,Japan,Men
314,Japan,Women
315,Japan,Mixed
316,Japan,Women
