team_id,team_name,country_code,sport_id,event_id,gender
1,Argentina,ARG,1,3,Women
2,Argentina,ARG,4,33,Women
3,Argentina,ARG,4,34,Men
4,AKOPOVA Karina/RAKHMANIN Nikita,ARM,6,42,Mixed
5,Australia,AUS,4,33,Women
6,Australia,AUS,4,31,Women
7,Australia,AUS,4,34,Men
8,Australia,AUS,14,90,Mixed
9,Australia 1,AUS,15,99,Mixed
10,Australia 2,AUS,15,99,Mixed
11,BLIZZARD Sarah,AUS,3,23,Womwn
12,GOLUBEVA Anastasiia/GIOTOPOULOS MOORE Hektor,AUS,6,42,Mixed
13,HARRIS Holly/CHAN Jason,AUS,6,43,Mixed
14,WALKER Bree,AUS,3,23,Womwn
15,Austria,AUT,13,87,Men
16,Austria,AUT,13,84,Mixed
17,Austria,AUT,10,68,Men
18,Austria,AUT,14,90,Mixed
19,Austria,AUT,4,34,Men
20,Austria,AUT,9,66,Mixed
21,Austria,AUT,4,31,Women
22,Austria,AUT,4,33,Women
23,Austria,AUT,2,17,Men
24,Austria,AUT,2,18,Women
25,Austria,AUT,2,10,Mixed
26,Austria 1,AUT,1,3,Women
27,Austria 1,AUT,1,2,Men
28,Austria 1,AUT,15,99,Mixed
29,Austria 2,AUT,1,2,Men
30,Austria 2,AUT,1,3,Women
31,Austria 3,AUT,1,3,Women
32,Austria 3,AUT,1,2,Men
33,Austria 4,AUT,1,2,Men
34,Austria 4,AUT,1,3,Women
35,BEIERL Katrin,AUT,3,23,Womwn
36,EGLE Selina/KIPP Lara Michaela,AUT,9,65,Women
37,FLOCK Janine/MAIER Samuel,AUT,12,81,Mixed
38,GATT Juri Thomas/SCHOEPF Riccardo Martin,AUT,9,64,Men
39,HASLWANTER Lea,AUT,3,23,Womwn
40,MANDLBAUER Jakob,AUT,3,22,Men
41,MANDLBAUER Jakob,AUT,3,24,Men
42,STEU Thomas/KINDL Wolfgang,AUT,9,64,Men
43,TREICHL Markus,AUT,3,24,Men
44,TREICHL Markus,AUT,3,22,Men
45,Belgium,BEL,16,111,Women
46,Belgium,BEL,11,78,Men
47,Belgium,BEL,11,70,Mixed
48,Belgium,BEL,2,10,Mixed
49,Belgium,BEL,2,18,Women
50,Belgium,BEL,2,17,Men
51,BINDILATTI Edson Luques,BRA,3,22,Men
52,BINDILATTI Edson Luques,BRA,3,24,Men
53,Brazil,BRA,4,33,Women
